country,slope
Croatia,-0.22850032580223145
Turkiye,-0.07363336307154109
Albania,-0.06638739920346257
Romania,-0.06546188827486425
North Macedonia,-0.058820677985863906
United Kingdom,-0.04422496300246505
Bulgaria,-0.03958690116126437
Montenegro,-0.03457388767235428
Sweden,-0.0314139812102767
Norway,-0.02909225504130839
Czechia,-0.02785151201455561
Belgium,-0.027843916725413483
United States,-0.026022709007492702
France,-0.02506943457126835
Slovak Republic,-0.024953170591738162
Spain,-0.02467529162088476
Netherlands,-0.022353062952336914
Greece,-0.02019186785353598
Slovenia,-0.01863661695819861
Hungary,-0.014207498618874013
Germany,-0.013968653494635084
Canada,-0.013616020919738436
Denmark,-0.010569304983619111
Portugal,-0.009821574659942428
Italy,-0.009248357697494112
Luxembourg,-0.005435574083806662
Finland,0.0008021278803343005
Poland,0.010973925295553043
Lithuania,0.052644611845832794
Estonia,0.053245415248211414
Latvia,0.054747847603169565
